product_category_name,product_category_name_english,COUNT(p.product_id),Categories
agro_industria_e_comercio,agro_industry_and_commerce,142,Industry
alimentos,food,267,"Food & Drink"
artes,art,165,"Art & Craft"
audio,audio,460,"Audio & Photo"
automotivo,auto,1900,Automotive
bebes,baby,5654,"Beauty & Baby"
cama_mesa_banho,bed_bath_table,10384,"Home & Living"
casa_construcao,home_construction,921,Construction
consoles_games,consoles_games,4969,Tech
cool_stuff,cool_stuff,3282,Other
esporte_lazer,sports_leisure,4437,Fashion
livros_importados,books_imported,370,Book
